STA-QW7AQ0-C-001,VOTE ANDREA 2012 (ANDREA EDWARDS),Closed,,
STA-0CZ4B0-C-001,ROBERT EWING FOR DIST CT JUDGE,Closed (Pending),,
STA-758B01-C-001,FAISON FOR GOVERNOR,Closed,,
STA-C2728N-C-003,COMM TO RE-ELECT LINDA FALLS,Closed (Pending),,
STA-7SC0PU-C-001,PEARL BURRIS FLOYD CAMPAIGN FUND,Conditionally Closed,,
STA-2IS0H2-C-001,COMM TO ELECT JACK FLYNN,Inactive,,
STA-V4M07V-C-001,FORIEST FOR SENATE COMM,Closed,,
STA-7T6Y0K-C-001,COMM TO ELECT GEORGE FRANKS,Closed,,
STA-HS5EPW-C-001,FRANTZ FOR HOUSE,Conditionally Closed,,
STA-C2614N-C-001,JUDGE FULLWOOD COMM,Closed,,
STA-53Q6YO-C-001,KEVIN FURR FOR NC HOUSE,Inactive,,
STA-C2618N-C-003,RE-ELECT JUDGE GESSNER,Inactive,,
STA-EUXW39-C-001,HANFORD FOR DA COMM,Closed (Pending),,
STA-C0921N-C-001,HARTSELL STATE SENATOR COMM,Inactive,,
STA-V7UU73-C-001,DANNY HEFNER FOR NC SENATE,Conditionally Closed,,
STA-42MJJ0-C-001,WAYNE HOLLOWELL FOR DISTRICT COURT JUDGE,Closed,,
STA-C1501N-C-002,COMM TO ELECT ROSEMARY B HUBBARD,Inactive,,
STA-C1777N-C-002,HOLMES FOR SENATE 22,Closed,,
STA-C2741N-C-002,COMM TO RE-ELECT JUDGE DONNA H JOHNSON,Closed,,
STA-C1111N-C-002,EARL JONES FOR STATE HOUSE,Terminated,,
STA-U9S112-C-001,KEN JONES FOR JUDGE,Closed,,
STA-Q8K6OU-C-001,COMM TO ELECT ANDREW KEEVER DIST CT JUDGE,Terminated,,
STA-499KVK-C-001,COMM TO ELECT BILLY R KING NC SENATE,Closed,,
STA-41C779-C-001,COMM TO ELECT DEREK KISZELY,Inactive,,
STA-C2407N-C-003,MARK E KLASS FOR JUDGE,Closed,,
STA-DHF47U-C-001,KRAHENBUHL FOR NC SENATE,Closed,,
STA-4431V2-C-001,JOE LANGLEY FOR NC SENATE,Inactive,,
STA-C81E3Q-C-002,LEVINSON COMM,Closed (Pending),,
STA-X19813-C-001,CITIZENS TO ELECT TERRY LIGHT,Conditionally Closed,,
STA-S33I8M-C-001,COMM TO ELECT TOMAKIO S GAUSE,Closed (Pending),,
STA-0NNH9C-C-002,GILCHRIST FOR SUPERIOR CT,Active (Non-Exempt),,
STA-C1924N-C-001,MITCH GILLESPIE FOR NC HOUSE,Active (Non-Exempt),,
STA-39JS7E-C-001,COMM TO ELECT JOHN GLADMAN,Conditionally Closed,,
STA-8CZ4JQ-C-001,COMM TO ELECT ED GOODWIN ,Closed (Pending),,
STA-7583N0-C-001,COMM TO ELECT MALCOLM GRAHAM,Closed,,
STA-87PX22-C-001,MARK W GRIFFIN FOR NC HOUSE DIST 12,Closed,,
STA-C1304N-C-001,HACKNEY FOR HOUSE COMM,Conditionally Closed,,
